Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.203442596591992,0.006491760756789436,2.199294496824553,0.0005155910164021044,2.198222239795705,0.0006496259689759829
0.0,0.18,4.338198308909106,0.011514566430903265,4.319360737127475,0.0009808694492673474,4.317321816309656,0.0006496259689759829
0.0,0.3,7.007986020340464,0.016978647142283473,6.980800541739942,0.0015662928410115943,6.977548684080432,0.0
0.0,0.42,9.346888009974172,0.022901016369973073,9.356517698067213,0.0021174306925263145,9.35207939760411,0.0006832205264585426
0.0,0.495,10.57837046127071,0.026376002196062384,10.60866375200018,0.0024324508072597374,10.603357706055409,0.0006832205264585426
0.0,0.57,11.528650609111613,0.0294766892665492,11.563890159208377,0.002740820755884594,11.558092291235221,0.0
0.0,0.625,11.915669938887387,0.0318796460643109,11.95891141371256,0.002979835418450942,11.952288969141902,0.000998269894360444
0.0,0.68,11.852018989781083,0.03454208789094141,11.922544088576895,0.0032455057561066886,11.914704866295338,0.000998269894360444
0.0,0.72,11.382730892165322,0.036696538459232944,11.470930712787197,0.0034645048087785847,11.463128110072647,0.0
0.0,0.76,10.400512149608842,0.038882145733727246,10.498540208993848,0.0037211304559979963,10.490951636263391,0.0011656271185360638
0.0,0.81,8.504958626586644,0.041986205115266594,8.531402660196209,0.0040753930879409974,8.522687977099563,0.0011656271185360638
0.0,0.86,6.411267718981959,0.044360805985944184,6.3711891280744055,0.004312761554483865,6.362442134214007,0.0
0.0,0.93,4.324568542536168,0.04586898579939783,4.255382638529765,0.004463032326021618,4.246950979148366,0.0008438133508183695
0.0,1.0,3.6266430151332285,0.046347071906542005,3.5724920942494105,0.004538078454834146,3.564571614815206,0.0008438133508183695
0.09,0.0,-2.203442596591992,0.006491760756789436,-2.199294496824553,0.0005155910164021077,-2.198222239795705,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009774606820651798
0.09,0.18,2.1347557123171135,0.006759934418320878,2.120066240302922,0.0005329880408937456,2.1190995765139515,0.0009774606820651798
0.09,0.3,4.8045434237484725,0.014191051124933823,4.781506044915389,0.00124445008978118,4.779326444284727,0.0
0.09,0.42,7.14344541338218,0.020918126685391534,7.15722320124266,0.001885353056009069,7.153857157808405,0.0008311117641467416
0.09,0.495,8.374927864678718,0.02467397343548466,8.409369255175626,0.0022336283513584372,8.405135466259704,0.0008311117641467416
0.09,0.57,9.32520801251962,0.027964024806257985,9.364595662383824,0.002566067973378067,9.359870051439517,0.0
0.09,0.625,9.712227342295394,0.030486444634198466,9.759616916888007,0.0028199305951492146,9.754066729346198,0.0009829636492060781
0.09,0.68,9.64857639318909,0.03326059694464061,9.723249591752342,0.003099336879500883,9.716482626499632,0.0009829636492060781
0.09,0.72,9.179288295573329,0.03549292053548535,9.271636215962644,0.0033279686585568533,9.264905870276941,0.0
0.09,0.76,8.19706955301685,0.037748281154340244,8.299245712169295,0.003594355833210016,8.292729396467685,0.0008441319279640008
0.09,0.81,6.3015160299946515,0.04093840364779205,6.332108163371656,0.003959976108807257,6.324465737303856,0.0008441319279640008
0.09,0.86,4.207825122389966,0.04337041135348956,4.171894631249852,0.004203866575765207,4.1642198944182995,0.0
0.09,0.93,2.121125945944175,0.04491186181304082,2.056088141705212,0.004357893929948996,2.048728739352659,0.0009812652603694138
0.09,1.0,1.4232004185412361,0.0454000280568029,1.3731975974248574,0.004434719610504047,1.366349375019499,0.0009812652603694138
0.18,0.0,-4.338198308909106,0.011514566430903265,-4.319360737127475,0.0009808694492673456,-4.317321816309656,0.0
0.18,0.09,-2.1347557123171135,0.006759934418320878,-2.120066240302922,0.0005329880408937425,-2.1190995765139515,0.001283572592532705
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.001283572592532705
0.18,0.3,2.669787711431359,0.009669130010237741,2.661439804612467,0.0008155022724795849,2.660226867770776,0.0
0.18,0.42,5.008689701065066,0.018156931655719917,5.037156960939738,0.0015811211046669192,5.034757581294453,0.0009382032102397732
0.18,0.495,6.240172152361604,0.022381043501575104,6.289303014872704,0.0019817856517852887,6.286035889745753,0.0009382032102397732
0.18,0.57,7.190452300202507,0.025963297681330974,7.244529422080902,0.0023504021637732993,7.240770474925566,0.0
0.18,0.625,7.57747162997828,0.02866233503325301,7.639550676585085,0.0026252418710708686,7.634967152832248,0.0007433309111471001
0.18,0.68,7.513820680871978,0.03159704815703883,7.60318335144942,0.0029233124737567608,7.597383049985682,0.0007433309111471001
0.18,0.72,7.044532583256215,0.03393896803473364,7.151569975659722,0.0031646859823607977,7.14580629376299,0.0
0.18,0.76,6.062313840699735,0.03629103020350225,6.179179471866373,0.003443727093588505,6.173629819953733,0.00042806332626834287
0.18,0.81,4.1667603176775385,0.03959872518596966,4.212041923068734,0.0038237773605686583,4.205366160789905,0.00042806332626834287
0.18,0.86,2.0730694100728533,0.042108178826628095,2.0518283909469304,0.004075825890378057,2.045120317904348,0.0
0.18,0.93,-0.013629766372937446,0.04369418124462419,-0.06397809859771009,0.004234513196033148,-0.07037083716129233,
0.18,1.0,-0.7115552937758767,0.04419579946876043,-0.7468686428780646,0.004313536892963935,-0.7527502014944526,
0.3,0.0,-7.007986020340464,0.016978647142283473,-6.980800541739942,0.001566292841011591,-6.977548684080432,
0.3,0.09,-4.8045434237484725,0.014191051124933823,-4.781506044915389,0.0012444500897811758,-4.779326444284727,
0.3,0.18,-2.669787711431359,0.009669130010237741,-2.661439804612467,0.0008155022724795807,-2.660226867770776,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.3389019896337073,0.011494671217567962,2.375717156327271,0.0009453102447827697,2.374530713523678,
0.3,0.495,3.570384440930245,0.017417359371296744,3.6278632102602373,0.0014717817785419012,3.6258090219749772,
