file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_3_8_9_shift-force-switch_sim_3_analysis.log,3.8869312087732513,0.14131406553174602,3.7977411595925368,0.013839030054416633,3.7940154638934853,0.013839030054416633
sim_0_8_9_shift-force-switch_sim_0_analysis.log,3.8409724000512258,0.14368612728810365,3.793875156543221,0.013853678585878396,3.785651824187319,0.013853678585878396
sim_7_8_9_shift-force-switch_sim_7_analysis.log,3.6077694344698275,0.14600756544455543,3.6847081096786933,0.013843510549997828,3.6795699708810887,0.013843510549997828
sim_6_8_9_shift-force-switch_sim_6_analysis.log,3.7736340849431698,0.1414602385584762,3.7788689992345468,0.013835593215425523,3.774868029202487,0.013835593215425523
sim_5_8_9_shift-force-switch_sim_5_analysis.log,3.7263395453840222,0.1489370771185283,3.7540897014928962,0.013859470696633376,3.7548817501852376,0.013859470696633376
sim_9_8_9_shift-force-switch_sim_9_analysis.log,3.6360579679642333,0.14119450949546575,3.737773440689425,0.013828711547264063,3.7290774176756263,0.013828711547264063
sim_4_8_9_shift-force-switch_sim_4_analysis.log,3.8400500711431604,0.1566106635656262,3.761642536930406,0.013857273157425628,3.754452954743741,0.013857273157425628
sim_2_8_9_shift-force-switch_sim_2_analysis.log,3.7411731615160675,0.1459340078414935,3.811146551062693,0.013845707529421146,3.809007209572145,0.013845707529421146
sim_1_8_9_shift-force-switch_sim_1_analysis.log,4.030002332313488,0.1520401393838243,3.7863042718600113,0.013856399444479264,3.780493401397803,0.013856399444479264
sim_8_8_9_shift-force-switch_sim_8_analysis.log,3.682352983507549,0.14602626069265587,3.7162902657541643,0.013847268820861418,3.7111912551287127,0.013847268820861418
