Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.173546373208089,0.006438062543590031,2.187682240558013,0.0005369036233680499,2.18718175172999,0.0006779171145586593
0.0,0.18,4.279545050403241,0.011374501622498385,4.295920890134557,0.0010193176508292653,4.294752137099601,0.0006779171145586593
0.0,0.3,6.916047855256258,0.016861180732539012,6.9404187770257835,0.0016211360025482312,6.937630546100165,0.0
0.0,0.42,9.25658234147092,0.022690103223706577,9.30070048238686,0.002179180194595638,9.295966833028814,0.0007087805350241047
0.0,0.495,10.499821385998992,0.025881002754872463,10.543305028450632,0.0024955462350464883,10.53762567916327,0.0007087805350241047
0.0,0.57,11.4392412080791,0.028758461468050164,11.489153954958896,0.002803286630664416,11.482748970302392,0.0
0.0,0.625,11.821878504283104,0.03100861099762588,11.878339985526184,0.0030404999865564822,11.870977559659412,0.0010280022500179513
0.0,0.68,11.766220121673646,0.03344140217998516,11.836166211502134,0.003303381705124624,11.827816626354174,0.0010280022500179513
0.0,0.72,11.305291932326268,0.03541763477270055,11.376888160821181,0.0035199750123649856,11.369657384920162,0.0
0.0,0.76,10.326463815480308,0.03743916945862657,10.392922013116957,0.003772238434008706,10.385937267478383,0.001188576023940367
0.0,0.81,8.42485417531912,0.04034962300489304,8.413520311132908,0.004115913497607447,8.40572634310849,0.001188576023940367
0.0,0.86,6.334300028427826,0.042522924968245376,6.249421451001568,0.0043438527095486104,6.240712994373487,0.0
0.0,0.93,4.260524196716423,0.04392045305488419,4.134213845809052,0.004487970719939416,4.125563835096322,0.0008561680561404137
0.0,1.0,3.572319002931419,0.04435822574039726,3.4533725821102266,0.004560069430996214,3.4457887860204703,0.0008561680561404137
0.09,0.0,-2.173546373208089,0.006438062543590031,-2.187682240558013,0.0005369036233680595,-2.18718175172999,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009874006805736775
0.09,0.18,2.1059986771951524,0.006682088118608016,2.1082386495765437,0.0005526030897837501,2.107570385369611,0.0009874006805736775
0.09,0.3,4.742501482048168,0.014126939872455354,4.75273653646777,0.001284773496109797,4.7504487943701745,0.0
0.09,0.42,7.083035968262832,0.020739136885779108,7.113018241828847,0.001935264996325296,7.108785081298824,0.0008357824638723962
0.09,0.495,8.326275012790903,0.024188784964572736,8.355622787892619,0.0022859285190541443,8.35044392743328,0.0008357824638723962
0.09,0.57,9.265694834871011,0.027245552306274685,9.301471714400883,0.002618488388886582,9.295567218572403,0.0
0.09,0.625,9.648332131075016,0.029610892767134,9.69065774496817,0.002871008230400484,9.683795807929425,0.000986538551224037
0.09,0.68,9.592673748465556,0.03214962510245089,9.64848397094412,0.0031480740756668034,9.640634874624185,0.000986538551224037
0.09,0.72,9.131745559118182,0.03420058285113035,9.189205920263168,0.003374650222731219,9.18247563319017,0.0
0.09,0.76,8.152917442272221,0.03628997691121311,8.205239772558944,0.0036370074251530914,8.198755515748392,0.0008455220766665574
0.09,0.81,6.251307802111032,0.039285660120476754,6.225838070574895,0.0039923406796936725,6.2185445913785005,0.0008455220766665574
0.09,0.86,4.1607536552197395,0.04151469814800115,4.061739210443555,0.004226948845806834,4.053531242643496,0.0
0.09,0.93,2.0869778235083363,0.04294504873685569,1.9465316052510389,0.004374919583996256,1.9383820833663319,0.000978875773656406
0.09,1.0,1.398772629723332,0.04339266303536424,1.2656903415522134,0.004448850795305991,1.2586070342904798,0.000978875773656406
0.18,0.0,-4.279545050403241,0.011374501622498385,-4.295920890134557,0.0010193176508292718,-4.294752137099601,0.0
0.18,0.09,-2.1059986771951524,0.006682088118608016,-2.1082386495765437,0.0005526030897837548,-2.107570385369611,0.0012676443955285269
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012676443955285269
0.18,0.3,2.636502804853016,0.009672630071279066,2.6444978868912266,0.0008393496070123447,2.6428784090005637,0.0
0.18,0.42,4.9770372910676794,0.01800280925586134,5.004779592252303,0.0016178316185155683,5.001214695929213,0.0009217069387984384
0.18,0.495,6.22027633559575,0.021888048346030836,6.247384138316075,0.002022397149951294,6.24287354206367,0.0009217069387984384
0.18,0.57,7.159696157675858,0.025225175178971368,7.193233064824339,0.002392166959189052,7.187996833202791,0.0
0.18,0.625,7.542333453879863,0.027763182685033642,7.582419095391627,0.002666248759814521,7.576225422559812,0.0007291463711845271
0.18,0.68,7.486675071270403,0.030456325066625874,7.540245321367577,0.002962523357169123,7.533064489254573,0.0007291463711845271
0.18,0.72,7.025746881923029,0.03261394195268144,7.0809672706866245,0.0032022544206534416,7.07490524782056,0.0
0.18,0.76,6.046918765077068,0.03479873225495756,6.0970011229824,0.003477641834897549,6.09118513037878,0.0004208100140001209
0.18,0.81,4.145309124915881,0.037912431120114956,4.117599420998351,0.0038477206122368426,4.110974206008889,0.0004208100140001209
0.18,0.86,2.0547549780245875,0.04021765165515626,1.9535005608670115,0.004090631532244467,1.9459608572738847,0.0
0.18,0.93,-0.01902085368681572,0.04169252395030497,-0.16170704432550487,0.004243358475875629,-0.1691883020032794,
0.18,1.0,-0.7072260474718202,0.04215344051956506,-0.8425483080243303,0.004319542011341123,-0.8489633510791313,
0.3,0.0,-6.916047855256258,0.016861180732539012,-6.9404187770257835,0.001621136002548236,-6.937630546100165,
0.3,0.09,-4.742501482048168,0.014126939872455354,-4.75273653646777,0.0012847734961097996,-4.7504487943701745,
0.3,0.18,-2.636502804853016,0.009672630071279066,-2.6444978868912266,0.0008393496070123466,-2.6428784090005637,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.3405344862146635,0.011190872694652096,2.3602817053610767,0.0009623719066946472,2.3583362869286493,
0.3,0.495,3.583773530742734,0.016739807375330408,3.6028862514248488,0.0014957476633173075,3.599995133063106,
0.3,0.57,4.523193352822842,0.020915160849842303,4.548735177933112,0.001963292073591762,4.545118424202228,
0.3,0.625,4.905830649026846,0.023915032999507545,4.9379212085004,0.0022898292079672985,4.933347013559248,
0.3,0.68,4.850172266417387,0.02699485556784786,4.89574743447635,0.002628959915998494,4.89018608025401,
0.3,0.72,4.389244077070012,0.029407544954617643,4.436469383795398,0.002896423440676028,4.432026838819996,
0.3,0.76,3.4104159602240522,0.0318133031469102,3.4525032360911734,0.00319825254488877,3.448306721378217,
0.3,0.81,1.5088063200628645,0.035192142929955886,1.4731015341071245,0.00359719093709171,1.4680957970083255,
0.3,0.86,-0.5817478268284288,0.03766422699618932,-0.690997326024215,0.0038559168770705733,-0.6969175517266786,
0.3,0.93,-2.6555236585398325,0.039235201591322766,-2.8062049312167314,0.004017576352771528,-2.8120667110038426,
0.3,1.0,-3.3437288523248365,0.03972464018970458,-3.487046194915557,0.00409795946622078,-3.4918417600796947,
0.42,0.0,-9.25658234147092,0.022690103223706577,-9.30070048238686,0.0021791801945956397,-9.295966833028814,
0.42,0.09,-7.083035968262832,0.020739136885779108,-7.113018241828847,0.001935264996325297,-7.108785081298824,
0.42,0.18,-4.9770372910676794,0.01800280925586134,-5.004779592252303,0.001617831618515569,-5.001214695929213,
0.42,0.3,-2.3405344862146635,0.011190872694652096,-2.3602817053610767,0.0009623719066946476,-2.3583362869286493,
0.42,0.42,0.0,0.0,0.0,0.0,0.0,
0.42,0.495,1.2432390445280705,0.008016050479966565,1.242604546063772,0.0006819529807019209,1.2416588461344569,
0.42,0.57,2.182658866608178,0.014882199693223516,2.1884534725720357,0.001336724038153154,2.1867821372735783,
0.42,0.625,2.5652961628121824,0.018867027261912268,2.5776395031393236,0.0017745636760401044,2.575010726630599,
0.42,0.68,2.509637780202724,0.022644163518734193,2.5354657291152733,0.0021954731917489204,2.5318497933253603,
0.42,0.72,2.0487095908553488,0.025472330372230637,2.076187678434321,0.0025096981314682333,2.073690551891347,
0.42,0.76,1.0698814740093887,0.028215637002403694,1.0922215307300966,0.002852730296765215,1.0899704344495675,
0.42,0.81,-0.831728166151799,0.03197691101930657,-0.8871801712539522,0.003293785460421675,-0.8902404899203238,
0.42,0.86,-2.9222823130430924,0.03467895485095654,-3.0512790313852918,0.0035745401882223793,-3.0552538386553287,
0.42,0.93,-4.996058144754494,0.03637907308118147,-5.166486636577808,0.0037483546022315374,-5.170402997932493,
