Filename,Time (ps),LJ Energy (kJ/mol),Distance (nm)
dhdl_modified_132.xvg,0.0,32642080768.0,0.132
dhdl_modified_133.xvg,0.0,29835933696.0,0.133
dhdl_modified_134.xvg,0.0,27289300992.0,0.134
dhdl_modified_135.xvg,0.0,24976379904.0,0.135
dhdl_modified_136.xvg,0.0,22874421248.0,0.136
dhdl_modified_137.xvg,0.0,20962695168.0,0.137
dhdl_modified_138.xvg,0.0,19222906880.0,0.138
dhdl_modified_139.xvg,0.0,17638471680.0,0.139
dhdl_modified_140.xvg,0.0,16194470912.0,0.14
dhdl_modified_141.xvg,0.0,14877729792.0,0.141
dhdl_modified_142.xvg,0.0,13676141568.0,0.142
dhdl_modified_143.xvg,0.0,12579006464.0,0.143
dhdl_modified_144.xvg,0.0,11576551424.0,0.144
dhdl_modified_145.xvg,0.0,10660099072.0,0.145
dhdl_modified_146.xvg,0.0,9821737984.0,0.146
dhdl_modified_147.xvg,0.0,9054301184.0,0.147
dhdl_modified_148.xvg,0.0,8351417344.0,0.148
dhdl_modified_149.xvg,0.0,7707257856.0,0.149
dhdl_modified_150.xvg,0.0,7116576768.0,0.15
dhdl_modified_151.xvg,0.0,6574625792.0,0.151
dhdl_modified_152.xvg,0.0,6077112320.0,0.152
dhdl_modified_153.xvg,0.0,5620113408.0,0.153
dhdl_modified_154.xvg,0.0,5200118272.0,0.154
dhdl_modified_155.xvg,0.0,4813905920.0,0.155
dhdl_modified_156.xvg,0.0,4458590720.0,0.156
dhdl_modified_157.xvg,0.0,4131503872.0,0.157
dhdl_modified_158.xvg,0.0,3830248192.0,0.158
dhdl_modified_159.xvg,0.0,3552654080.0,0.159
dhdl_modified_160.xvg,0.0,3296713216.0,0.16
dhdl_modified_161.xvg,0.0,3060636160.0,0.161
dhdl_modified_162.xvg,0.0,2842759168.0,0.162
dhdl_modified_163.xvg,0.0,2641588992.0,0.163
dhdl_modified_164.xvg,0.0,2455748352.0,0.164
dhdl_modified_165.xvg,0.0,2283986944.0,0.165
dhdl_modified_166.xvg,0.0,2125167616.0,0.166
dhdl_modified_167.xvg,0.0,1978238336.0,0.167
dhdl_modified_168.xvg,0.0,1842252160.0,0.168
dhdl_modified_169.xvg,0.0,1716334464.0,0.169
dhdl_modified_170.xvg,0.0,1599690496.0,0.17
dhdl_modified_171.xvg,0.0,1491579776.0,0.171
dhdl_modified_172.xvg,0.0,1391344256.0,0.172
dhdl_modified_173.xvg,0.0,1298366208.0,0.173
dhdl_modified_174.xvg,0.0,1212078336.0,0.174
dhdl_modified_175.xvg,0.0,1131969408.0,0.175
dhdl_modified_176.xvg,0.0,1057564352.0,0.176
dhdl_modified_177.xvg,0.0,988430848.0,0.177
dhdl_modified_178.xvg,0.0,924162624.0,0.178
dhdl_modified_179.xvg,0.0,864400320.0,0.179
dhdl_modified_180.xvg,0.0,808802944.0,0.18
dhdl_modified_181.xvg,0.0,757055232.0,0.181
dhdl_modified_182.xvg,0.0,708876672.0,0.182
dhdl_modified_183.xvg,0.0,664000960.0,0.183
dhdl_modified_184.xvg,0.0,622188416.0,0.184
dhdl_modified_185.xvg,0.0,583211840.0,0.185
dhdl_modified_186.xvg,0.0,546867200.0,0.186
dhdl_modified_187.xvg,0.0,512963200.0,0.187
dhdl_modified_188.xvg,0.0,481324928.0,0.188
dhdl_modified_189.xvg,0.0,451789632.0,0.189
dhdl_modified_190.xvg,0.0,424207520.0,0.19
dhdl_modified_191.xvg,0.0,398440096.0,0.191
dhdl_modified_192.xvg,0.0,374359840.0,0.192
dhdl_modified_193.xvg,0.0,351848800.0,0.193
dhdl_modified_194.xvg,0.0,330796192.0,0.194
dhdl_modified_195.xvg,0.0,311101408.0,0.195
dhdl_modified_196.xvg,0.0,292671296.0,0.196
dhdl_modified_197.xvg,0.0,275417216.0,0.197
dhdl_modified_198.xvg,0.0,259260288.0,0.198
dhdl_modified_199.xvg,0.0,244124800.0,0.199
dhdl_modified_200.xvg,0.0,229942144.0,0.2
dhdl_modified_201.xvg,0.0,216647584.0,0.201
dhdl_modified_202.xvg,0.0,204181888.0,0.202
dhdl_modified_203.xvg,0.0,192489392.0,0.203
dhdl_modified_204.xvg,0.0,181518560.0,0.204
dhdl_modified_205.xvg,0.0,171222160.0,0.205
dhdl_modified_206.xvg,0.0,161555024.0,0.206
dhdl_modified_207.xvg,0.0,152477056.0,0.207
dhdl_modified_208.xvg,0.0,143948864.0,0.208
dhdl_modified_209.xvg,0.0,135934672.0,0.209
dhdl_modified_210.xvg,0.0,128402080.0,0.21
dhdl_modified_211.xvg,0.0,121319192.0,0.211
dhdl_modified_212.xvg,0.0,114657912.0,0.212
dhdl_modified_213.xvg,0.0,108390824.0,0.213
dhdl_modified_214.xvg,0.0,102493280.0,0.214
dhdl_modified_215.xvg,0.0,96941640.0,0.215
dhdl_modified_216.xvg,0.0,91714336.0,0.216
dhdl_modified_217.xvg,0.0,86791264.0,0.217
dhdl_modified_218.xvg,0.0,82152776.0,0.218
dhdl_modified_219.xvg,0.0,77781872.0,0.219
dhdl_modified_220.xvg,0.0,73661688.0,0.22
dhdl_modified_221.xvg,0.0,69777008.0,0.221
dhdl_modified_222.xvg,0.0,66113108.0,0.222
dhdl_modified_223.xvg,0.0,62656840.0,0.223
dhdl_modified_224.xvg,0.0,59395504.0,0.224
dhdl_modified_225.xvg,0.0,56317140.0,0.225
dhdl_modified_226.xvg,0.0,53411000.0,0.226
dhdl_modified_227.xvg,0.0,50666400.0,0.227
dhdl_modified_228.xvg,0.0,48074156.0,0.228
dhdl_modified_229.xvg,0.0,45624804.0,0.229
dhdl_modified_230.xvg,0.0,43310196.0,0.23
dhdl_modified_231.xvg,0.0,41122184.0,0.231
dhdl_modified_232.xvg,0.0,39053448.0,0.232
dhdl_modified_233.xvg,0.0,37096960.0,0.233
dhdl_modified_234.xvg,0.0,35246160.0,0.234
dhdl_modified_235.xvg,0.0,33495012.0,0.235
dhdl_modified_236.xvg,0.0,31837746.0,0.236
dhdl_modified_237.xvg,0.0,30268910.0,0.237
dhdl_modified_238.xvg,0.0,28783558.0,0.238
dhdl_modified_239.xvg,0.0,27376758.0,0.239
dhdl_modified_240.xvg,0.0,26044180.0,0.24
dhdl_modified_241.xvg,0.0,24781490.0,0.241
dhdl_modified_242.xvg,0.0,23584956.0,0.242
dhdl_modified_243.xvg,0.0,22450678.0,0.243
dhdl_modified_244.xvg,0.0,21375340.0,0.244
dhdl_modified_245.xvg,0.0,20355520.0,0.245
dhdl_modified_246.xvg,0.0,19388184.0,0.246
dhdl_modified_247.xvg,0.0,18470532.0,0.247
dhdl_modified_248.xvg,0.0,17599646.0,0.248
dhdl_modified_249.xvg,0.0,16773103.0,0.249
dhdl_modified_250.xvg,0.0,15988430.0,0.25
dhdl_modified_251.xvg,0.0,15243408.0,0.251
dhdl_modified_252.xvg,0.0,14535830.0,0.252
dhdl_modified_253.xvg,0.0,13863663.0,0.253
dhdl_modified_254.xvg,0.0,13225078.0,0.254
dhdl_modified_255.xvg,0.0,12618208.0,0.255
dhdl_modified_256.xvg,0.0,12041398.0,0.256
dhdl_modified_257.xvg,0.0,11493046.0,0.257
dhdl_modified_258.xvg,0.0,10971630.0,0.258
dhdl_modified_259.xvg,0.0,10475744.0,0.259
dhdl_modified_260.xvg,0.0,10004062.0,0.26
dhdl_modified_261.xvg,0.0,9555296.0,0.261
dhdl_modified_262.xvg,0.0,9128241.0,0.262
dhdl_modified_263.xvg,0.0,8721780.0,0.263
dhdl_modified_264.xvg,0.0,8334861.0,0.264
dhdl_modified_265.xvg,0.0,7966474.0,0.265
dhdl_modified_266.xvg,0.0,7615645.0,0.266
dhdl_modified_267.xvg,0.0,7281501.0,0.267
dhdl_modified_268.xvg,0.0,6963179.0,0.268
dhdl_modified_269.xvg,0.0,6659880.5,0.269
dhdl_modified_270.xvg,0.0,6370828.5,0.27
dhdl_modified_271.xvg,0.0,6095313.0,0.271
dhdl_modified_272.xvg,0.0,5832678.5,0.272
dhdl_modified_273.xvg,0.0,5582234.0,0.273
dhdl_modified_274.xvg,0.0,5343415.5,0.274
dhdl_modified_275.xvg,0.0,5115619.5,0.275
dhdl_modified_276.xvg,0.0,4898296.5,0.276
dhdl_modified_277.xvg,0.0,4690954.5,0.277
dhdl_modified_278.xvg,0.0,4493077.5,0.278
dhdl_modified_279.xvg,0.0,4304216.0,0.279
dhdl_modified_280.xvg,0.0,4123912.25,0.28
dhdl_modified_281.xvg,0.0,3951765.0,0.281
dhdl_modified_282.xvg,0.0,3787376.75,0.282
dhdl_modified_283.xvg,0.0,3630373.5,0.283
dhdl_modified_284.xvg,0.0,3480392.5,0.284
dhdl_modified_285.xvg,0.0,3337097.25,0.285
dhdl_modified_286.xvg,0.0,3200176.5,0.286
dhdl_modified_287.xvg,0.0,3069311.5,0.287
dhdl_modified_288.xvg,0.0,2944233.75,0.288
dhdl_modified_289.xvg,0.0,2824652.75,0.289
dhdl_modified_290.xvg,0.0,2710310.75,0.29
dhdl_modified_291.xvg,0.0,2600970.0,0.291
dhdl_modified_292.xvg,0.0,2496388.0,0.292
dhdl_modified_293.xvg,0.0,2396347.25,0.293
dhdl_modified_294.xvg,0.0,2300635.5,0.294
dhdl_modified_295.xvg,0.0,2209053.75,0.295
dhdl_modified_296.xvg,0.0,2121400.5,0.296
dhdl_modified_297.xvg,0.0,2037506.0,0.297
dhdl_modified_298.xvg,0.0,1957194.0,0.298
dhdl_modified_299.xvg,0.0,1880299.0,0.299
dhdl_modified_300.xvg,0.0,1806665.375,0.3
dhdl_modified_301.xvg,0.0,1736142.75,0.301
dhdl_modified_302.xvg,0.0,1668594.25,0.302
dhdl_modified_303.xvg,0.0,1603880.5,0.303
dhdl_modified_304.xvg,0.0,1541880.0,0.304
dhdl_modified_305.xvg,0.0,1482465.625,0.305
dhdl_modified_306.xvg,0.0,1425520.5,0.306
dhdl_modified_307.xvg,0.0,1370939.625,0.307
dhdl_modified_308.xvg,0.0,1318615.5,0.308
dhdl_modified_309.xvg,0.0,1268445.625,0.309
dhdl_modified_310.xvg,0.0,1220337.625,0.31
dhdl_modified_311.xvg,0.0,1174200.25,0.311
dhdl_modified_312.xvg,0.0,1129944.5,0.312
dhdl_modified_313.xvg,0.0,1087490.625,0.313
