Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.1700054266283355,0.006553214266963344,2.1851342088715047,0.000511091497031804,2.1837264220383417,0.0006463336708975225
0.0,0.18,4.272794256174706,0.011548101234840845,4.2913898460775854,0.0009696118928665509,4.289272790365613,0.0006463336708975225
0.0,0.3,6.911413210773466,0.016953273904316248,6.934689497617338,0.0015404251194137786,6.932454843578137,0.0
0.0,0.42,9.243045557142214,0.022803599588472126,9.292435770964621,0.0020703596139611327,9.28914913030204,0.0006744494340679393
0.0,0.495,10.472551149679337,0.02610268551400317,10.532736570731158,0.0023701891884027465,10.527650468567778,0.0006744494340679393
0.0,0.57,11.398756692465266,0.02896868719819887,11.476932080618663,0.0026608610138700276,11.470447375234283,0.0
0.0,0.625,11.767623136669059,0.031204888923550507,11.865364113065775,0.0028845126284743903,11.858510455726357,0.0009750801924277529
0.0,0.68,11.706024762103025,0.03360211098366483,11.822362273222394,0.0031323903755618655,11.815579418367308,0.0009750801924277529
0.0,0.72,11.248870821507348,0.03553609238074104,11.364312967976725,0.0033362863503700237,11.35768537424088,0.0
0.0,0.76,10.265539798356462,0.037527229208403214,10.384193975569072,0.003574312841168104,10.37826321769969,0.001129478924029488
0.0,0.81,8.358801899058333,0.04042732508105788,8.408571756921274,0.0039009779942696205,8.401477025097513,0.001129478924029488
0.0,0.86,6.260382503819827,0.04260354690490732,6.244446882403357,0.0041183528204459825,6.236115646534986,0.0
0.0,0.93,4.166301521160285,0.04396683510826041,4.127336714980721,0.004255595870530444,4.1195914165275855,0.000812026361362127
0.0,1.0,3.4659633987674576,0.04440198303794125,3.444483650893247,0.004324166758317703,3.4375950961777084,0.000812026361362127
0.09,0.0,-2.1700054266283355,0.006553214266963344,-2.1851342088715047,0.0005110914970318058,-2.1837264220383417,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009346438375304332
0.09,0.18,2.1027888295463697,0.0067405284423253985,2.1062556372060808,0.0005252939985176776,2.105546368327272,0.0009346438375304332
0.09,0.3,4.74140778414513,0.014124077938981905,4.749555288745833,0.0012199067156556701,4.748728421539797,0.0
0.09,0.42,7.073040130513878,0.020786539773204948,7.107301562093117,0.001837920641334747,7.105422708263698,0.0007905925596716436
0.09,0.495,8.302545723051,0.02436034221012948,8.347602361859654,0.0021703748042876552,8.343924046529438,0.0007905925596716436
0.09,0.57,9.22875126583693,0.027409139343269356,9.291797871747159,0.002484597652834455,9.286720953195942,0.0
