file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_0_85_9_switch-potential-switch_sim_0_analysis.log,3.376967240653711,0.13915211727663881,3.4194659817604833,0.013670913524927464,3.4074061894795076,0.013670913524927464
sim_2_85_9_switch-potential-switch_sim_2_analysis.log,3.2780161408592012,0.14480637617197187,3.47939747951399,0.013668398977650223,3.472714660254654,0.013668398977650223
sim_8_85_9_switch-potential-switch_sim_8_analysis.log,3.4864521433791116,0.1366861639694454,3.4105376550286906,0.013692195888932168,3.3981090078270677,0.013692195888932168
sim_1_85_9_switch-potential-switch_sim_1_analysis.log,3.4757415374368437,0.13673349383083389,3.4976388554350084,0.01366230199211267,3.4917288668222835,0.01366230199211267
sim_7_85_9_switch-potential-switch_sim_7_analysis.log,3.6094346360748784,0.13959013779909135,3.4857617605118314,0.013655948156576154,3.476412586660967,0.013655948156576154
sim_6_85_9_switch-potential-switch_sim_6_analysis.log,3.570834409688918,0.13605094613923718,3.429974607404187,0.019348941507969116,3.419815971975421,0.019348941507969116
sim_4_85_9_switch-potential-switch_sim_4_analysis.log,3.294492884112728,0.14174862524472256,3.462448506959351,0.013665421374792236,3.4537441991802753,0.013665421374792236
sim_3_85_9_switch-potential-switch_sim_3_analysis.log,3.5292591018531723,0.13735438188461144,3.4234012952410104,0.013704262154799531,3.4124472934993983,0.013704262154799531
sim_5_85_9_switch-potential-switch_sim_5_analysis.log,3.5720631312177806,0.13764775754427938,3.4714036187690382,0.013645159275091301,3.4708803167461437,0.013645159275091301
sim_9_85_9_switch-potential-switch_sim_9_analysis.log,3.3305368454683792,0.13801821693429822,3.4171721100834365,0.013685937993499906,3.4117151648383,0.013685937993499906
