file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_3_95_1_force_switch-potential-shift_analysis.log,3.532686416218704,0.13941874552995126,3.540577518104312,0.013735781358589308,3.5315723706124604,0.013735781358589308
sim_8_95_1_force_switch-potential-shift_analysis.log,3.6548479196683723,0.14794579637820593,3.565012104782351,0.013725276905169614,3.5564688548954497,0.013725276905169614
sim_5_95_1_force_switch-potential-shift_analysis.log,3.402274603823614,0.13848382968092132,3.54924289112223,0.013744999886317078,3.5489108503899143,0.013744999886317078
sim_7_95_1_force_switch-potential-shift_analysis.log,3.2783015126691466,0.14738244107541418,3.5801145494402267,0.01369963849790512,3.5776566431212156,0.01369963849790512
sim_2_95_1_force_switch-potential-shift_analysis.log,3.518901706919246,0.14412388942820487,3.5248439321650906,0.013712015040597544,3.522680816036365,0.013712015040597544
sim_9_95_1_force_switch-potential-shift_analysis.log,3.8444281310296002,0.14147401568144727,3.500294508589576,0.019416548669009125,3.4874887141334296,0.019416548669009125
sim_6_95_1_force_switch-potential-shift_analysis.log,3.8704510142248387,0.13992098184934396,3.5976241381126144,0.01372884672562061,3.588549668854398,0.01372884672562061
sim_0_95_1_force_switch-potential-shift_analysis.log,3.3351439112135997,0.14369992654281075,3.6008939526535073,0.013706290831847863,3.5965473991921204,0.013706290831847863
sim_1_95_1_force_switch-potential-shift_analysis.log,3.647406071711203,0.13837155555501965,3.5847846575468587,0.013726027594307657,3.5757815316232393,0.013726027594307657
sim_4_95_1_force_switch-potential-shift_analysis.log,3.6606493265712334,0.1427568073476452,3.593310578447028,0.013733077950554132,3.588180887347713,0.013733077950554132
