file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_6_95_1_shift-force-switch_sim_6_analysis.log,3.5246209888419826,0.14159938634480077,3.5839146031476883,0.013744908249540798,3.5776592065773536,0.013744908249540798
sim_8_95_1_shift-force-switch_sim_8_analysis.log,3.7093157496639972,0.14027397937986602,3.6496465490006447,0.013719208187697948,3.6497973278934754,0.013719208187697948
sim_0_95_1_shift-force-switch_sim_0_analysis.log,3.529024426541893,0.14363188989248224,3.5679231535281257,0.013738182084337896,3.5586090078107944,0.013738182084337896
sim_1_95_1_shift-force-switch_sim_1_analysis.log,3.9474946162065403,0.1403900989806834,3.5472256997390215,0.013729063530015564,3.5414566709971997,0.013729063530015564
sim_5_95_1_shift-force-switch_sim_5_analysis.log,3.7677596078133244,0.13765235496793052,3.58353937361548,0.013740480627407564,3.5748390607919753,0.013740480627407564
sim_4_95_1_shift-force-switch_sim_4_analysis.log,3.572519560252449,0.13703534367034756,3.616140585629674,0.013715593118495201,3.6069153984045275,0.013715593118495201
sim_2_95_1_shift-force-switch_sim_2_analysis.log,3.6808026466588677,0.13876232035876562,3.6298472203426417,0.013710018903329036,3.627537433685367,0.013710018903329036
sim_9_95_1_shift-force-switch_sim_9_analysis.log,3.3805273932379993,0.14400963761600596,3.6165756158569025,0.019412683377695073,3.6086190119529746,0.019412683377695073
sim_7_95_1_shift-force-switch_sim_7_analysis.log,3.6099926385403345,0.13417321923211792,3.5880232375346104,0.013728622616229043,3.5855294804413336,0.013728622616229043
sim_3_95_1_shift-force-switch_sim_3_analysis.log,3.7636419405779176,0.13849774038641458,3.6091315804626003,0.01374552995202825,3.60295245297895,0.01374552995202825
