file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_8_95_1_switch-potential-switch_sim_8_analysis.log,3.3718523474221587,0.14291239359443536,3.3973238108586976,0.013686012350298846,3.3920096991515045,0.013686012350298846
sim_9_95_1_switch-potential-switch_sim_9_analysis.log,3.6612753548348596,0.13379777029594003,3.4867917239745037,0.013653726454053312,3.480452863552222,0.013653726454053312
sim_7_95_1_switch-potential-switch_sim_7_analysis.log,3.6740961425100753,0.14417601529068147,3.4019575600502936,0.013704355886276661,3.3929446121679927,0.013704355886276661
sim_3_95_1_switch-potential-switch_sim_3_analysis.log,3.39319932706565,0.1425155479302362,3.4151657747529978,0.013694643543167696,3.4090403720057303,0.013694643543167696
sim_5_95_1_switch-potential-switch_sim_5_analysis.log,3.2912438462478795,0.13643731208261353,3.460458275819816,0.013650953208715604,3.4555747421131287,0.013650953208715604
sim_4_95_1_switch-potential-switch_sim_4_analysis.log,3.3901252194812255,0.1366209373028346,3.4437879431245264,0.013671620172613766,3.4333978263581724,0.013671620172613766
sim_6_95_1_switch-potential-switch_sim_6_analysis.log,3.403901970848562,0.1377607064369506,3.501749179188998,0.013655324707583384,3.494927844298207,0.013655324707583384
sim_1_95_1_switch-potential-switch_sim_1_analysis.log,3.4909846817843846,0.15374461524975966,3.449283137561336,0.013657518520267932,3.443176433122045,0.013657518520267932
sim_0_95_1_switch-potential-switch_sim_0_analysis.log,3.6627513017695765,0.13789893359144956,3.430405484543453,0.013692025989230496,3.4247903993251847,0.013692025989230496
sim_2_95_1_switch-potential-switch_sim_2_analysis.log,3.352872038711654,0.14157452949251292,3.4612251293876106,0.013691716941934521,3.453025002874333,0.013691716941934521
