Filename,Time (ps),LJ Energy (kJ/mol)
dhdl_modified_141.xvg,0.000000,14877728768.000000
dhdl_modified_142.xvg,0.000000,13676140544.000000
dhdl_modified_143.xvg,0.000000,12579006464.000000
dhdl_modified_144.xvg,0.000000,11576551424.000000
dhdl_modified_145.xvg,0.000000,10660100096.000000
dhdl_modified_146.xvg,0.000000,9821737984.000000
dhdl_modified_147.xvg,0.000000,9054301184.000000
dhdl_modified_148.xvg,0.000000,8351416832.000000
dhdl_modified_149.xvg,0.000000,7707256832.000000
dhdl_modified_150.xvg,0.000000,7116576256.000000
dhdl_modified_151.xvg,0.000000,6574625280.000000
dhdl_modified_152.xvg,0.000000,6077112320.000000
dhdl_modified_153.xvg,0.000000,5620113920.000000
dhdl_modified_154.xvg,0.000000,5200118272.000000
dhdl_modified_155.xvg,0.000000,4813906432.000000
dhdl_modified_156.xvg,0.000000,4458591232.000000
dhdl_modified_157.xvg,0.000000,4131503360.000000
dhdl_modified_158.xvg,0.000000,3830248448.000000
dhdl_modified_159.xvg,0.000000,3552654080.000000
dhdl_modified_160.xvg,0.000000,3296713216.000000
dhdl_modified_161.xvg,0.000000,3060636160.000000
dhdl_modified_162.xvg,0.000000,2842759168.000000
dhdl_modified_163.xvg,0.000000,2641588992.000000
dhdl_modified_164.xvg,0.000000,2455748608.000000
dhdl_modified_165.xvg,0.000000,2283987200.000000
dhdl_modified_166.xvg,0.000000,2125167616.000000
dhdl_modified_167.xvg,0.000000,1978238464.000000
dhdl_modified_168.xvg,0.000000,1842252160.000000
dhdl_modified_169.xvg,0.000000,1716334464.000000
dhdl_modified_170.xvg,0.000000,1599690496.000000
dhdl_modified_171.xvg,0.000000,1491579904.000000
dhdl_modified_172.xvg,0.000000,1391344256.000000
dhdl_modified_173.xvg,0.000000,1298366336.000000
dhdl_modified_174.xvg,0.000000,1212078336.000000
dhdl_modified_175.xvg,0.000000,1131969536.000000
dhdl_modified_176.xvg,0.000000,1057564352.000000
dhdl_modified_177.xvg,0.000000,988430784.000000
dhdl_modified_178.xvg,0.000000,924162560.000000
dhdl_modified_179.xvg,0.000000,864400320.000000
dhdl_modified_180.xvg,0.000000,808803008.000000
dhdl_modified_181.xvg,0.000000,757055232.000000
dhdl_modified_182.xvg,0.000000,708876608.000000
dhdl_modified_183.xvg,0.000000,664000960.000000
dhdl_modified_184.xvg,0.000000,622188416.000000
dhdl_modified_185.xvg,0.000000,583211840.000000
dhdl_modified_186.xvg,0.000000,546867264.000000
dhdl_modified_187.xvg,0.000000,512963264.000000
dhdl_modified_188.xvg,0.000000,481324992.000000
dhdl_modified_189.xvg,0.000000,451789664.000000
dhdl_modified_190.xvg,0.000000,424207552.000000
dhdl_modified_191.xvg,0.000000,398440128.000000
dhdl_modified_192.xvg,0.000000,374359840.000000
dhdl_modified_193.xvg,0.000000,351848768.000000
dhdl_modified_194.xvg,0.000000,330796160.000000
dhdl_modified_195.xvg,0.000000,311101376.000000
dhdl_modified_196.xvg,0.000000,292671264.000000
dhdl_modified_197.xvg,0.000000,275417216.000000
dhdl_modified_198.xvg,0.000000,259260256.000000
dhdl_modified_199.xvg,0.000000,244124784.000000
dhdl_modified_200.xvg,0.000000,229942128.000000
dhdl_modified_201.xvg,0.000000,216647552.000000
dhdl_modified_202.xvg,0.000000,204181872.000000
dhdl_modified_203.xvg,0.000000,192489392.000000
dhdl_modified_204.xvg,0.000000,181518560.000000
dhdl_modified_205.xvg,0.000000,171222144.000000
dhdl_modified_206.xvg,0.000000,161555024.000000
dhdl_modified_207.xvg,0.000000,152477056.000000
dhdl_modified_208.xvg,0.000000,143948864.000000
dhdl_modified_209.xvg,0.000000,135934688.000000
dhdl_modified_210.xvg,0.000000,128402064.000000
dhdl_modified_211.xvg,0.000000,121319184.000000
dhdl_modified_212.xvg,0.000000,114657920.000000
dhdl_modified_213.xvg,0.000000,108390832.000000
dhdl_modified_214.xvg,0.000000,102493272.000000
dhdl_modified_215.xvg,0.000000,96941640.000000
dhdl_modified_216.xvg,0.000000,91714344.000000
dhdl_modified_217.xvg,0.000000,86791248.000000
dhdl_modified_218.xvg,0.000000,82152776.000000
dhdl_modified_219.xvg,0.000000,77781872.000000
dhdl_modified_220.xvg,0.000000,73661680.000000
dhdl_modified_221.xvg,0.000000,69777000.000000
dhdl_modified_222.xvg,0.000000,66113104.000000
dhdl_modified_223.xvg,0.000000,62656832.000000
dhdl_modified_224.xvg,0.000000,59395496.000000
dhdl_modified_225.xvg,0.000000,56317132.000000
dhdl_modified_226.xvg,0.000000,53410992.000000
dhdl_modified_227.xvg,0.000000,50666396.000000
dhdl_modified_228.xvg,0.000000,48074148.000000
dhdl_modified_229.xvg,0.000000,45624796.000000
dhdl_modified_230.xvg,0.000000,43310196.000000
dhdl_modified_231.xvg,0.000000,41122184.000000
dhdl_modified_232.xvg,0.000000,39053444.000000
dhdl_modified_233.xvg,0.000000,37096956.000000
dhdl_modified_234.xvg,0.000000,35246160.000000
dhdl_modified_235.xvg,0.000000,33495006.000000
dhdl_modified_236.xvg,0.000000,31837740.000000
dhdl_modified_237.xvg,0.000000,30268908.000000
dhdl_modified_238.xvg,0.000000,28783556.000000
dhdl_modified_239.xvg,0.000000,27376754.000000
dhdl_modified_240.xvg,0.000000,26044172.000000
dhdl_modified_241.xvg,0.000000,24781488.000000
dhdl_modified_242.xvg,0.000000,23584952.000000
dhdl_modified_243.xvg,0.000000,22450678.000000
dhdl_modified_244.xvg,0.000000,21375332.000000
dhdl_modified_245.xvg,0.000000,20355516.000000
dhdl_modified_246.xvg,0.000000,19388178.000000
dhdl_modified_247.xvg,0.000000,18470528.000000
dhdl_modified_248.xvg,0.000000,17599642.000000
dhdl_modified_249.xvg,0.000000,16773099.000000
dhdl_modified_250.xvg,0.000000,15988424.000000
dhdl_modified_251.xvg,0.000000,15243401.000000
dhdl_modified_252.xvg,0.000000,14535823.000000
dhdl_modified_253.xvg,0.000000,13863658.000000
dhdl_modified_254.xvg,0.000000,13225071.000000
dhdl_modified_255.xvg,0.000000,12618202.000000
dhdl_modified_256.xvg,0.000000,12041392.000000
dhdl_modified_257.xvg,0.000000,11493040.000000
dhdl_modified_258.xvg,0.000000,10971625.000000
dhdl_modified_259.xvg,0.000000,10475739.000000
dhdl_modified_260.xvg,0.000000,10004056.000000
dhdl_modified_261.xvg,0.000000,9555290.000000
dhdl_modified_262.xvg,0.000000,9128236.000000
dhdl_modified_263.xvg,0.000000,8721774.000000
dhdl_modified_264.xvg,0.000000,8334856.000000
dhdl_modified_265.xvg,0.000000,7966468.000000
dhdl_modified_266.xvg,0.000000,7615639.000000
dhdl_modified_267.xvg,0.000000,7281496.000000
dhdl_modified_268.xvg,0.000000,6963173.500000
dhdl_modified_269.xvg,0.000000,6659874.500000
dhdl_modified_270.xvg,0.000000,6370823.000000
dhdl_modified_271.xvg,0.000000,6095307.500000
dhdl_modified_272.xvg,0.000000,5832673.000000
dhdl_modified_273.xvg,0.000000,5582228.000000
dhdl_modified_274.xvg,0.000000,5343409.500000
dhdl_modified_275.xvg,0.000000,5115614.500000
dhdl_modified_276.xvg,0.000000,4898290.500000
dhdl_modified_277.xvg,0.000000,4690950.000000
dhdl_modified_278.xvg,0.000000,4493071.000000
dhdl_modified_279.xvg,0.000000,4304209.500000
dhdl_modified_280.xvg,0.000000,4123906.500000
dhdl_modified_281.xvg,0.000000,3951760.000000
dhdl_modified_282.xvg,0.000000,3787371.250000
dhdl_modified_283.xvg,0.000000,3630368.000000
dhdl_modified_284.xvg,0.000000,3480387.250000
dhdl_modified_285.xvg,0.000000,3337092.000000
dhdl_modified_286.xvg,0.000000,3200171.250000
dhdl_modified_287.xvg,0.000000,3069306.000000
dhdl_modified_288.xvg,0.000000,2944228.250000
dhdl_modified_289.xvg,0.000000,2824647.500000
dhdl_modified_290.xvg,0.000000,2710305.500000
dhdl_modified_291.xvg,0.000000,2600964.750000
dhdl_modified_292.xvg,0.000000,2496382.500000
dhdl_modified_293.xvg,0.000000,2396341.750000
dhdl_modified_294.xvg,0.000000,2300630.000000
dhdl_modified_295.xvg,0.000000,2209048.500000
dhdl_modified_296.xvg,0.000000,2121395.250000
dhdl_modified_297.xvg,0.000000,2037500.750000
dhdl_modified_298.xvg,0.000000,1957188.750000
dhdl_modified_299.xvg,0.000000,1880293.500000
dhdl_modified_300.xvg,0.000000,1806660.250000
dhdl_modified_301.xvg,0.000000,1736137.125000
dhdl_modified_302.xvg,0.000000,1668589.000000
dhdl_modified_303.xvg,0.000000,1603875.250000
dhdl_modified_304.xvg,0.000000,1541874.625000
dhdl_modified_305.xvg,0.000000,1482460.250000
dhdl_modified_306.xvg,0.000000,1425515.250000
dhdl_modified_307.xvg,0.000000,1370934.250000
dhdl_modified_308.xvg,0.000000,1318610.000000
dhdl_modified_309.xvg,0.000000,1268440.125000
dhdl_modified_310.xvg,0.000000,1220332.125000
dhdl_modified_311.xvg,0.000000,1174194.875000
dhdl_modified_312.xvg,0.000000,1129939.125000
dhdl_modified_313.xvg,0.000000,1087485.375000
dhdl_modified_314.xvg,0.000000,1046753.937500
dhdl_modified_315.xvg,0.000000,1007666.750000
dhdl_modified_316.xvg,0.000000,970158.812500
dhdl_modified_317.xvg,0.000000,934156.562500
dhdl_modified_318.xvg,0.000000,899598.937500
dhdl_modified_319.xvg,0.000000,866419.687500
dhdl_modified_320.xvg,0.000000,834562.250000
dhdl_modified_321.xvg,0.000000,803968.625000
dhdl_modified_322.xvg,0.000000,774586.812500
dhdl_modified_323.xvg,0.000000,746363.875000
dhdl_modified_324.xvg,0.000000,719251.750000
dhdl_modified_325.xvg,0.000000,693202.250000
dhdl_modified_326.xvg,0.000000,668172.437500
dhdl_modified_327.xvg,0.000000,644118.000000
dhdl_modified_328.xvg,0.000000,620998.187500
dhdl_modified_329.xvg,0.000000,598774.250000
dhdl_modified_330.xvg,0.000000,577409.937500
dhdl_modified_331.xvg,0.000000,556868.250000
dhdl_modified_332.xvg,0.000000,537115.562500
dhdl_modified_333.xvg,0.000000,518119.968750
dhdl_modified_334.xvg,0.000000,499848.812500
dhdl_modified_335.xvg,0.000000,482273.843750
dhdl_modified_336.xvg,0.000000,465365.812500
dhdl_modified_337.xvg,0.000000,449097.656250
dhdl_modified_338.xvg,0.000000,433444.187500
dhdl_modified_339.xvg,0.000000,418379.343750
dhdl_modified_340.xvg,0.000000,403879.906250
dhdl_modified_341.xvg,0.000000,389923.500000
dhdl_modified_342.xvg,0.000000,376487.687500
dhdl_modified_343.xvg,0.000000,363551.312500
dhdl_modified_344.xvg,0.000000,351094.968750
dhdl_modified_345.xvg,0.000000,339099.187500
dhdl_modified_346.xvg,0.000000,327546.937500
dhdl_modified_347.xvg,0.000000,316418.343750
dhdl_modified_348.xvg,0.000000,305699.406250
dhdl_modified_349.xvg,0.000000,295371.312500
dhdl_modified_350.xvg,0.000000,285420.718750
dhdl_modified_351.xvg,0.000000,275831.531250
dhdl_modified_352.xvg,0.000000,266590.687500
dhdl_modified_353.xvg,0.000000,257683.484375
dhdl_modified_354.xvg,0.000000,249098.140625
dhdl_modified_355.xvg,0.000000,240821.796875
dhdl_modified_356.xvg,0.000000,232841.890625
dhdl_modified_357.xvg,0.000000,225147.593750
dhdl_modified_358.xvg,0.000000,217728.109375
dhdl_modified_359.xvg,0.000000,210572.281250
dhdl_modified_360.xvg,0.000000,203670.468750
dhdl_modified_361.xvg,0.000000,197013.031250
dhdl_modified_362.xvg,0.000000,190590.453125
dhdl_modified_363.xvg,0.000000,184394.000000
dhdl_modified_364.xvg,0.000000,178415.000000
dhdl_modified_365.xvg,0.000000,172645.328125
dhdl_modified_366.xvg,0.000000,167077.015625
dhdl_modified_367.xvg,0.000000,161702.828125
dhdl_modified_368.xvg,0.000000,156515.125000
dhdl_modified_369.xvg,0.000000,151507.078125
dhdl_modified_370.xvg,0.000000,146672.093750
dhdl_modified_371.xvg,0.000000,142003.515625
dhdl_modified_372.xvg,0.000000,137495.656250
dhdl_modified_373.xvg,0.000000,133142.062500
dhdl_modified_374.xvg,0.000000,128937.398438
dhdl_modified_375.xvg,0.000000,124876.070312
dhdl_modified_376.xvg,0.000000,120952.984375
dhdl_modified_377.xvg,0.000000,117162.898438
dhdl_modified_378.xvg,0.000000,113500.921875
dhdl_modified_379.xvg,0.000000,109962.539062
dhdl_modified_380.xvg,0.000000,106543.289062
dhdl_modified_381.xvg,0.000000,103238.765625
dhdl_modified_382.xvg,0.000000,100044.796875
dhdl_modified_383.xvg,0.000000,96957.656250
dhdl_modified_384.xvg,0.000000,93973.390625
dhdl_modified_385.xvg,0.000000,91088.171875
dhdl_modified_386.xvg,0.000000,88298.578125
dhdl_modified_387.xvg,0.000000,85601.328125
dhdl_modified_388.xvg,0.000000,82992.984375
dhdl_modified_389.xvg,0.000000,80470.203125
dhdl_modified_390.xvg,0.000000,78030.484375
dhdl_modified_391.xvg,0.000000,75670.453125
dhdl_modified_392.xvg,0.000000,73387.609375
dhdl_modified_393.xvg,0.000000,71179.078125
dhdl_modified_394.xvg,0.000000,69042.195312
dhdl_modified_395.xvg,0.000000,66974.539062
dhdl_modified_396.xvg,0.000000,64973.812500
dhdl_modified_397.xvg,0.000000,63037.562500
dhdl_modified_398.xvg,0.000000,61163.539062
dhdl_modified_399.xvg,0.000000,59349.718750
dhdl_modified_400.xvg,0.000000,57593.976562
dhdl_modified_401.xvg,0.000000,55894.242188
dhdl_modified_402.xvg,0.000000,54248.644531
dhdl_modified_403.xvg,0.000000,52655.257812
dhdl_modified_404.xvg,0.000000,51112.566406
dhdl_modified_405.xvg,0.000000,49618.570312
dhdl_modified_406.xvg,0.000000,48171.601562
dhdl_modified_407.xvg,0.000000,46770.269531
dhdl_modified_408.xvg,0.000000,45412.980469
dhdl_modified_409.xvg,0.000000,44098.089844
dhdl_modified_410.xvg,0.000000,42824.343750
dhdl_modified_411.xvg,0.000000,41590.281250
dhdl_modified_412.xvg,0.000000,40394.570312
dhdl_modified_413.xvg,0.000000,39236.007812
dhdl_modified_414.xvg,0.000000,38113.257812
dhdl_modified_415.xvg,0.000000,37025.269531
dhdl_modified_416.xvg,0.000000,35970.605469
dhdl_modified_417.xvg,0.000000,34948.441406
dhdl_modified_418.xvg,0.000000,33957.648438
dhdl_modified_419.xvg,0.000000,32997.179688
dhdl_modified_420.xvg,0.000000,32065.939453
dhdl_modified_421.xvg,0.000000,31163.101562
dhdl_modified_422.xvg,0.000000,30287.714844
dhdl_modified_423.xvg,0.000000,29438.818359
dhdl_modified_424.xvg,0.000000,28615.626953
dhdl_modified_425.xvg,0.000000,27817.189453
dhdl_modified_426.xvg,0.000000,27042.863281
dhdl_modified_427.xvg,0.000000,26291.769531
dhdl_modified_428.xvg,0.000000,25563.173828
dhdl_modified_429.xvg,0.000000,24856.314453
dhdl_modified_430.xvg,0.000000,24170.548828
dhdl_modified_431.xvg,0.000000,23505.234375
dhdl_modified_432.xvg,0.000000,22859.636719
dhdl_modified_433.xvg,0.000000,22233.177734
dhdl_modified_434.xvg,0.000000,21625.207031
dhdl_modified_435.xvg,0.000000,21035.201172
dhdl_modified_436.xvg,0.000000,20462.558594
dhdl_modified_437.xvg,0.000000,19906.679688
dhdl_modified_438.xvg,0.000000,19367.126953
dhdl_modified_439.xvg,0.000000,18843.300781
dhdl_modified_440.xvg,0.000000,18334.796875
dhdl_modified_441.xvg,0.000000,17841.085938
dhdl_modified_442.xvg,0.000000,17361.689453
dhdl_modified_443.xvg,0.000000,16896.160156
dhdl_modified_444.xvg,0.000000,16444.121094
dhdl_modified_445.xvg,0.000000,16005.107422
dhdl_modified_446.xvg,0.000000,15578.729492
dhdl_modified_447.xvg,0.000000,15164.603516
dhdl_modified_448.xvg,0.000000,14762.324219
dhdl_modified_449.xvg,0.000000,14371.557617
dhdl_modified_450.xvg,0.000000,13991.949219
dhdl_modified_451.xvg,0.000000,13623.146484
dhdl_modified_452.xvg,0.000000,13264.802734
dhdl_modified_453.xvg,0.000000,12916.614258
dhdl_modified_454.xvg,0.000000,12578.288086
dhdl_modified_455.xvg,0.000000,12249.524414
dhdl_modified_456.xvg,0.000000,11930.002930
dhdl_modified_457.xvg,0.000000,11619.445312
dhdl_modified_458.xvg,0.000000,11317.632812
dhdl_modified_459.xvg,0.000000,11024.260742
dhdl_modified_460.xvg,0.000000,10739.055664
dhdl_modified_461.xvg,0.000000,10461.825195
dhdl_modified_462.xvg,0.000000,10192.267578
dhdl_modified_463.xvg,0.000000,9930.220703
dhdl_modified_464.xvg,0.000000,9675.422852
dhdl_modified_465.xvg,0.000000,9427.679688
dhdl_modified_466.xvg,0.000000,9186.744141
dhdl_modified_467.xvg,0.000000,8952.451172
dhdl_modified_468.xvg,0.000000,8724.590820
dhdl_modified_469.xvg,0.000000,8502.972656
dhdl_modified_470.xvg,0.000000,8287.417969
dhdl_modified_471.xvg,0.000000,8077.732422
dhdl_modified_472.xvg,0.000000,7873.778320
dhdl_modified_473.xvg,0.000000,7675.356934
dhdl_modified_474.xvg,0.000000,7482.322266
dhdl_modified_475.xvg,0.000000,7294.516113
dhdl_modified_476.xvg,0.000000,7111.767578
dhdl_modified_477.xvg,0.000000,6933.964844
dhdl_modified_478.xvg,0.000000,6760.939941
dhdl_modified_479.xvg,0.000000,6592.565430
dhdl_modified_480.xvg,0.000000,6428.690918
dhdl_modified_481.xvg,0.000000,6269.195312
dhdl_modified_482.xvg,0.000000,6113.974609
dhdl_modified_483.xvg,0.000000,5962.865234
dhdl_modified_484.xvg,0.000000,5815.784180
dhdl_modified_485.xvg,0.000000,5672.606445
dhdl_modified_486.xvg,0.000000,5533.216797
dhdl_modified_487.xvg,0.000000,5397.507812
