file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_6_85_9_force_switch-potential-shift_analysis.log,3.738954013167365,0.14029476034776328,3.636821974322064,0.013778561219644712,3.637356601121289,0.013778561219644712
sim_9_85_9_force_switch-potential-shift_analysis.log,3.469970373127516,0.14184178940360784,3.6395898092002756,0.0194883616551266,3.6269677813588914,0.0194883616551266
sim_2_85_9_force_switch-potential-shift_analysis.log,3.6118973797537692,0.1428946589491531,3.6901867247427766,0.013787391048490319,3.684714201870803,0.013787391048490319
sim_3_85_9_force_switch-potential-shift_analysis.log,3.6511204393238854,0.14879661800619023,3.7103619621441712,0.01377962936687919,3.698131363277183,0.01377962936687919
sim_8_85_9_force_switch-potential-shift_analysis.log,3.5782340750943376,0.15433975422622073,3.666909556051545,0.014746074121240255,3.6604197267782297,0.014746074121240255
sim_7_85_9_force_switch-potential-shift_analysis.log,3.617805322750258,0.15081053352965368,3.6694226952280804,0.013783459912987557,3.6572584783945694,0.013783459912987557
sim_5_85_9_force_switch-potential-shift_analysis.log,3.653936601662287,0.14139548219674108,3.692229960135851,0.013772838285883559,3.6842739340426114,0.013772838285883559
sim_0_85_9_force_switch-potential-shift_analysis.log,3.7797427758192037,0.1446667001654637,3.715129172088952,0.013773160084529121,3.710716483058147,0.013773160084529121
sim_4_85_9_force_switch-potential-shift_analysis.log,3.446632212215132,0.1480575415900119,3.6111029149391367,0.013795607395392245,3.602888539135107,0.013795607395392245
sim_1_85_9_force_switch-potential-shift_analysis.log,3.5526482383156774,0.14534082333301754,3.685809232217945,0.013782762061755396,3.676643437470586,0.013782762061755396
