file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_4_85_9_force_switch-potential-shift_sim_4_analysis.log,3.8632455986852237,0.14231520651285315,3.6574985924885812,0.01375679165369979,3.6472376094907775,0.01375679165369979
sim_6_85_9_force_switch-potential-shift_sim_6_analysis.log,3.7624720382326284,0.1420994631848378,3.737254013348675,0.013767411015079178,3.734837326772444,0.013767411015079178
sim_9_85_9_force_switch-potential-shift_sim_9_analysis.log,3.6995310267740904,0.13868944524973137,3.7154611467957768,0.013764084295074353,3.7133896645805855,0.013764084295074353
sim_3_85_9_force_switch-potential-shift_sim_3_analysis.log,3.782400590624885,0.1370199965286828,3.6755669852503257,0.01377534264324376,3.6725605810729545,0.01377534264324376
sim_0_85_9_force_switch-potential-shift_sim_0_analysis.log,3.7211922950474134,0.14200604362399483,3.639519355471176,0.013770088565754823,3.6397118650818223,0.013770088565754823
sim_7_85_9_force_switch-potential-shift_sim_7_analysis.log,3.5100132706382676,0.14361452928804477,3.6424865449567108,0.013773435326845444,3.636612233214077,0.013773435326845444
sim_1_85_9_force_switch-potential-shift_sim_1_analysis.log,3.60541071270871,0.14648278649421237,3.6936948525145237,0.013775471190175798,3.688807190342448,0.013775471190175798
sim_8_85_9_force_switch-potential-shift_sim_8_analysis.log,3.7662909499443487,0.13940570719030418,3.6916343723286573,0.013768774224987963,3.6860726468521396,0.013768774224987963
sim_2_85_9_force_switch-potential-shift_sim_2_analysis.log,3.922644818933146,0.1411121432921624,3.7359665641853024,0.013769671211503985,3.734020888134188,0.013769671211503985
sim_5_85_9_force_switch-potential-shift_sim_5_analysis.log,3.7587336374093914,0.1424032773630943,3.6734905415508408,0.013795898099499809,3.66161260065506,0.013795898099499809
