Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.2581947106455127,0.005629223429952269,2.2547321739380646,0.0004367320880984967,2.2534822744375855,0.0005453411354711972
0.0,0.18,4.43773984490232,0.010137009154709303,4.430157237470535,0.000841188878676071,4.428362094741546,0.0005453411354711972
0.0,0.3,7.167992420616318,0.015582025325627212,7.1635258818928165,0.0013713471174088324,7.161652297981194,0.0
0.0,0.42,9.589666920966536,0.021629272515170887,9.608419726280145,0.0018955617780674029,9.606255241639852,0.0005901843561471234
0.0,0.495,10.872769814767377,0.025061688358964582,10.901237272086744,0.002207087403560367,10.898450766190841,0.0005901843561471234
0.0,0.57,11.846329181957945,0.028275859107169243,11.894771912824652,0.0025206151385280037,11.891636437669138,0.0
0.0,0.625,12.247468520059321,0.03102612674591613,12.316674409099956,0.002768914589647555,12.313099215931269,0.0008919338048306805
0.0,0.68,12.214105613553581,0.033935958902007055,12.305322686160405,0.003049491189623744,12.301797269864306,0.0008919338048306805
0.0,0.72,11.77438332713325,0.03626519266733009,11.8688799763968,0.003283730184716199,11.865601563969278,0.0
0.0,0.76,10.810716536329405,0.038761227636848104,10.91090562869302,0.0035592600630148337,10.90747827833265,0.001079094211100978
0.0,0.81,8.916367375498314,0.0424217188793078,8.962160165999709,0.003941715657494277,8.958576119800894,0.001079094211100978
0.0,0.86,6.835052115796651,0.045151193933719094,6.813632815583183,0.004200562535665375,6.809414808693706,0.0
0.0,0.93,4.771165592637555,0.04695276077093724,4.705111410112574,0.004365373116374687,4.700743851232518,0.0008016607218958693
0.0,1.0,4.0815820753652705,0.0475064095137036,4.025979006742775,0.004447807339512319,4.022161264111752,0.0008016607218958693
0.09,0.0,-2.2581947106455127,0.005629223429952269,-2.2547321739380646,0.0004367320880984967,-2.2534822744375855,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.000948043434799268
0.09,0.18,2.1795451342568075,0.006098931977021263,2.1754250635324706,0.00046309424300903634,2.1748798203039605,0.000948043434799268
0.09,0.3,4.909797709970805,0.013313058623252588,4.908793707954752,0.0011033872786088866,4.908170023543608,0.0
0.09,0.42,7.3314722103210235,0.02005650633069476,7.35368755234208,0.0017063430995665637,7.352772967202267,0.000818295753373496
0.09,0.495,8.614575104121863,0.023717635633838653,8.64650509814868,0.002047120570438073,8.644968491753255,0.000818295753373496
0.09,0.57,9.588134471312433,0.027091737207240105,9.640039738886587,0.0023818537069289977,9.638154163231553,0.0
0.09,0.625,9.989273809413806,0.029950935836987203,10.061942235161892,0.0026432175340864675,10.059616941493683,0.0009797503032926104
0.09,0.68,9.95591090290807,0.032955838985775865,10.05059051222234,0.0029358305343937215,10.04831499542672,0.0009797503032926104
0.09,0.72,9.516188616487739,0.03534971309439787,9.614147802458735,0.0031784569631717755,9.612119289531693,0.0
0.09,0.76,8.55252182568389,0.03790607846471631,8.656173454754956,0.003462374484521738,8.653996003895065,0.0008507356980548878
0.09,0.81,6.658172664852801,0.0416418089104291,6.707427992061644,0.003854455496955707,6.705093845363308,0.0008507356980548878
0.09,0.86,4.576857405151136,0.044419233787830976,4.558900641645119,0.004118789927833651,4.5559325342561205,0.0
0.09,0.93,2.5129708819920404,0.04624932173200528,2.450379236174509,0.00428674553702926,2.4472615767949333,0.0009931556286373756
0.09,1.0,1.823387364719756,0.046811290962132,1.7712468328047102,0.004370662991295096,1.7686789896741666,0.0009931556286373756
0.18,0.0,-4.43773984490232,0.010137009154709303,-4.430157237470535,0.000841188878676068,-4.428362094741546,0.0
0.18,0.09,-2.1795451342568075,0.006098931977021263,-2.1754250635324706,0.0004630942430090327,-2.1748798203039605,0.00131167442821934
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.00131167442821934
0.18,0.3,2.7302525757139975,0.009274359160733416,2.7333686444222813,0.000732605865692768,2.733290203239648,0.0
0.18,0.42,5.151927076064216,0.017636316342403216,5.17826248880961,0.0014472246117900628,5.177893146898306,0.0009687908567680715
0.18,0.495,6.435029969865056,0.021709501329962716,6.471080034616209,0.0018352098289208885,6.470088671449295,0.0009687908567680715
0.18,0.57,7.408589337055625,0.025352286540710242,7.464614675354117,0.002202642479985904,7.463274342927592,0.0
0.18,0.625,7.809728675156999,0.028387228914556705,7.886517171629421,0.002482976061042533,7.884737121189723,0.0007707163681285727
0.18,0.68,7.776365768651261,0.03154145734097434,7.87516544868987,0.00279242801355429,7.87343517512276,0.0007707163681285727
0.18,0.72,7.33664348223093,0.034034958848107394,7.4387227389262645,0.003046496018592696,7.437239469227732,0.0
0.18,0.76,6.372976691427082,0.03668306138409592,6.480748391222486,0.00334164432985154,6.479116183591104,0.0004445532163494528
0.18,0.81,4.478627530595995,0.04053167227328293,4.532002928529174,0.0037463818543895526,4.5302140250593474,0.0004445532163494528
0.18,0.86,2.397312270894331,0.04338023211364946,2.383475578112648,0.004017832783234591,2.38105271395216,0.0
0.18,0.93,0.3334257477352347,0.04525235870765915,0.2749541726420386,0.004189837360152926,0.27238175649097274,
0.18,1.0,-0.3561577695370497,0.045826555287054906,-0.4041782307277604,0.004275657234763215,-0.40620083062979395,
0.3,0.0,-7.167992420616318,0.015582025325627212,-7.1635258818928165,0.0013713471174088276,-7.161652297981194,
0.3,0.09,-4.909797709970805,0.013313058623252588,-4.908793707954752,0.0011033872786088816,-4.908170023543608,
0.3,0.18,-2.7302525757139975,0.009274359160733416,-2.7333686444222813,0.0007326058656927628,-2.733290203239648,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.4216745003502185,0.011181869328241872,2.4448938443873285,0.0008793658407870207,2.444602943658658,
0.3,0.495,3.704777394151059,0.016890736974454677,3.737711390193928,0.001383797820722505,3.736798468209647,
0.3,0.57,4.678336761341628,0.021371312088564784,4.731246030931835,0.0018401905069120295,4.729984139687945,
0.3,0.625,5.079476099443002,0.024896371482447027,5.15314852720714,0.0021683870369834453,5.151446917950075,
0.3,0.68,5.0461131929372645,0.02844043035428721,5.141796804267589,0.002516895437892164,5.140144971883112,
0.3,0.72,4.606390906516934,0.031182895493153315,4.705354094503983,0.0027961045938675144,4.703949265988085,
0.3,0.76,3.642724115713085,0.03405350995204322,3.7473797468002044,0.0031150669785632076,3.745825980351457,
0.3,0.81,1.7483749548819967,0.038168193627854195,1.7986342841068925,0.0035457628752017757,1.7969238218196995,
0.3,0.86,-0.3329403048196675,0.041180566846252396,-0.3498930663096331,0.003831453711697816,-0.352237489287488,
0.3,0.93,-2.3968268279787637,0.043148238853413394,-2.4584144717802427,0.004011457882709666,-2.4609084467486753,
0.3,1.0,-3.086410345251048,0.043750059623068605,-3.1375468751500417,0.0041010123180560696,-3.139491033869442,
0.42,0.0,-9.589666920966536,0.021629272515170887,-9.608419726280145,0.0018955617780673966,-9.606255241639852,
0.42,0.09,-7.3314722103210235,0.02005650633069476,-7.35368755234208,0.0017063430995665572,-7.352772967202267,
0.42,0.18,-5.151927076064216,0.017636316342403216,-5.17826248880961,0.0014472246117900568,-5.177893146898306,
0.42,0.3,-2.4216745003502185,0.011181869328241872,-2.4448938443873285,0.000879365840787015,-2.444602943658658,
0.42,0.42,0.0,0.0,0.0,0.0,0.0,
0.42,0.495,1.2831028938008404,0.008152598567770605,1.2928175458065994,0.0006427907133864546,1.2921955245509888,
0.42,0.57,2.2566622609914093,0.01542403475922692,2.286352186544507,0.0012751606355788224,2.2853811960292862,
0.42,0.625,2.657801599092784,0.020024914003785553,2.7082546828198115,0.0017083374616887585,2.7068439742914165,
0.42,0.68,2.624438692587046,0.024290449699502607,2.6969029598802603,0.002134009253891648,2.695542028224454,
0.42,0.72,2.1847164061667153,0.027450698337272338,2.2604602501166546,0.0024572362008884303,2.2593463223294266,
0.42,0.76,1.2210496153628672,0.030672616580932763,1.3024859024128759,0.0028148514141570547,1.3012230366927986,
0.42,0.81,-0.6732995454682213,0.03518492394023859,-0.646259560280436,0.003285143983613448,-0.6476791218389588,
0.42,0.86,-2.754614805169885,0.03843184816848738,-2.7947869106969616,0.003591625897909688,-2.7968404329461456,
0.42,0.93,-4.818501328328983,0.04053317633763998,-4.903308316167571,0.003783058717786218,-4.905511390407333,
0.42,1.0,-5.508084845601267,0.04117323869807988,-5.58244071953737,0.0038778912941836137,-5.5840939775280996,
0.495,0.0,-10.872769814767377,0.025061688358964582,-10.901237272086744,0.0022070874035603613,-10.898450766190841,
0.495,0.09,-8.614575104121863,0.023717635633838653,-8.64650509814868,0.002047120570438067,-8.644968491753255,
0.495,0.18,-6.435029969865056,0.021709501329962716,-6.471080034616209,0.0018352098289208829,-6.470088671449295,
0.495,0.3,-3.704777394151059,0.016890736974454677,-3.737711390193928,0.0013837978207224997,-3.736798468209647,
0.495,0.42,-1.2831028938008404,0.008152598567770605,-1.2928175458065994,0.0006427907133864506,-1.2921955245509888,
0.495,0.495,0.0,0.0,0.0,0.0,0.0,
0.495,0.57,0.9735593671905691,0.009855453544568285,0.9935346407379075,0.0007439414056005359,0.9931856714782976,
0.495,0.625,1.3746987052919435,0.01613153114785791,1.4154371370132122,0.0012896991939221369,1.414648449740428,
0.495,0.68,1.3413357987862053,0.02119563782761372,1.404085414073661,0.0018096516304993678,1.4033465036734651,
0.495,0.72,0.9016135123658745,0.024754190665809084,0.9676427043100553,0.002182094006596568,0.9671507977784377,
0.495,0.76,-0.06205327843797348,0.028284952257980122,0.009668356606276518,0.002578257253983176,0.009027512141809746,
0.495,0.81,-1.956402439269062,0.03312413001115165,-1.9390771060870353,0.003084813847144775,-1.9398746463899477,
0.495,0.86,-4.0377176989707255,0.036554562915742404,-4.087604456503561,0.0034093528744254652,-4.089035957497135,
0.495,0.93,-6.101604222129822,0.03875780566974246,-6.196125861974171,0.00361046336520183,-6.197706914958323,
0.495,1.0,-6.7911877394021065,0.03942670035907603,-6.8752582653439696,0.0037097106558046603,-6.876289502079089,
0.57,0.0,-11.846329181957945,0.028275859107169243,-11.894771912824652,0.0025206151385279976,-11.891636437669138,
