Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.179290704263013,0.0063639553474202195,2.184711093666838,0.0005226619838430317,2.1838656476288127,0.0006601867767933846
0.0,0.18,4.272583622432821,0.01123011427898781,4.290443450796721,0.0009917641579876891,4.289326927125888,0.0006601867767933846
0.0,0.3,6.889892287430875,0.016636501385608616,6.932458904673533,0.0015763574925948542,6.9297715286822505,0.0
0.0,0.42,9.238779221131084,0.02235944589843974,9.28933761749909,0.002118878358245496,9.2851611336623,0.0006897263119520268
0.0,0.495,10.470404812987141,0.02552786814451234,10.530101715342406,0.0024258082956825234,10.524110555684407,0.0006897263119520268
0.0,0.57,11.385278494151649,0.028399776199666518,11.474944754529071,0.002723734381119911,11.467865163896919,0.0
0.0,0.625,11.761547838499165,0.03060457416532499,11.863637634641625,0.0029531307838311692,11.857227266819972,0.0009993160035862432
0.0,0.68,11.692328587375545,0.032935734405878235,11.820902126001364,0.0032074877853843346,11.812850778208372,0.0009993160035862432
0.0,0.72,11.233468326167483,0.03483545957860926,11.363175936438083,0.0034169066767107013,11.354722973635628,0.0
0.0,0.76,10.256731888911503,0.036836061559154976,10.385303541026612,0.003661063248287023,10.377503970844794,0.0011549359227360594
0.0,0.81,8.34596459060213,0.039795538931245725,8.414269380500558,0.0039973752548635565,8.405083614998544,0.0011549359227360594
0.0,0.86,6.247291899600342,0.042014392236283074,6.2510070635631045,0.0042227015784885,6.241353735713142,0.0
0.0,0.93,4.154879418573726,0.043406538356153095,4.1333448125588514,0.004364871271254479,4.124615107203181,0.0008323885941399662
0.0,1.0,3.455455210509358,0.04383891700537277,3.450665688568055,0.004435772197126171,3.4425761597645597,0.0008323885941399662
0.09,0.0,-2.179290704263013,0.0063639553474202195,-2.184711093666838,0.0005226619838430284,-2.1838656476288127,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009561416469082523
0.09,0.18,2.0932929181698077,0.006596931649223299,2.1057323571298827,0.0005374298612129145,2.1054612794970753,0.0009561416469082523
0.09,0.3,4.710601583167862,0.013934748609815516,4.747747811006695,0.0012488084881058664,4.745905881053438,0.0
0.09,0.42,7.059488516868071,0.020429117977794634,7.104626523832252,0.0018813681918551815,7.101295486033487,0.0008092230107544522
0.09,0.495,8.291114108724127,0.023855315811554582,8.345390621675568,0.00222163740164552,8.340244908055595,0.0008092230107544522
0.09,0.57,9.205987789888635,0.026906343650829688,9.290233660862233,0.0025436558620543924,9.283999516268107,0.0
0.09,0.625,9.582257134236148,0.029224031212450412,9.678926540974787,0.002787906256617654,9.67336161919116,0.0009567059179700971
0.09,0.68,9.51303788311253,0.03165701567299024,9.636191032334526,0.0030560448025279156,9.62898513057956,0.0009567059179700971
0.09,0.72,9.054177621904469,0.03362905417222313,9.178464842771245,0.0032751615991897303,9.170857326006816,0.0
0.09,0.76,8.077441184648489,0.035697331436050694,8.200592447359774,0.003529138213861085,8.193638323215982,0.000818847274339196
0.09,0.81,6.166673886339116,0.03874388931552552,6.22955828683372,0.003876911313069106,6.221217967369731,0.000818847274339196
0.09,0.86,4.068001195337331,0.04101966839760704,4.066295969896267,0.004108849111615673,4.057488088084329,0.0
0.09,0.93,1.9755887143107138,0.04244445325987352,1.9486337188920135,0.004254824745655018,1.9407494595743682,0.000948714661035867
0.09,1.0,1.2761645062463463,0.04288653267249942,1.265954594901217,0.0043275290162403494,1.258710512135747,0.000948714661035867
0.18,0.0,-4.272583622432821,0.01123011427898781,-4.290443450796721,0.0009917641579876865,-4.289326927125888,0.0
0.18,0.09,-2.0932929181698077,0.006596931649223299,-2.1057323571298827,0.0005374298612129145,-2.1054612794970753,0.0012395374745888764
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012395374745888764
0.18,0.3,2.6173086649980544,0.009525425710680442,2.6420154538768124,0.0008155410014356321,2.6404446015563625,0.0
0.18,0.42,4.966195598698263,0.017717375017241927,4.998894166702369,0.0015727513945953515,4.995834206536411,0.0009038507090499703
0.18,0.495,6.197821190554318,0.021578521928527508,6.239658264545685,0.0019653575280728203,6.234783628558519,0.0009038507090499703
0.18,0.57,7.112694871718828,0.024909994877708817,7.18450130373235,0.0023234523316557807,7.178538236771031,0.0
0.18,0.625,7.488964216066342,0.027397089561798576,7.573194183844905,0.0025886033702892676,7.567900339694084,0.0007138182682541075
0.18,0.68,7.419744964942723,0.02997871173801312,7.530458675204644,0.002875384686144981,7.523523851082484,0.0007138182682541075
0.18,0.72,6.960884703734661,0.032054169785992806,7.072732485641362,0.0031072666517945866,7.06539604650974,0.0
0.18,0.76,5.984148266478682,0.03421777298139359,6.094860090229892,0.0033739056780582193,6.088177043718906,0.000411521732898265
0.18,0.81,4.0733809681693085,0.037385096969843865,4.1238259297038375,0.0037361563676048945,4.115756687872655,0.000411521732898265
0.18,0.86,1.9747082771675224,0.039738768370453786,1.960563612766384,0.00397631287465525,1.9520268085872532,0.0
0.18,0.93,-0.1177042038590943,0.04120786488864139,-0.15709863823786918,0.004126979121846386,-0.164711819922708,
